model_type,model_size,task_type,modality,train_projector,num_classes,perf
whisper,small,Interrogation,audio+text,True,2,0.6655338825857073
bert,medium,Call for Action,text,True,2,0.7492571949276975
bert,small,multi-task,text,True,2,0.5433088509175158
bert,small,Accusation,text,True,2,0.38447169994207864
whisper,small,multi-task,audio+text,True,7,0.420477043532254
bert,small,multi-task,text,True,7,0.4745133452173228
whisper,small,Interrogation,audio+text,False,2,0.29054270747438526
bert,small,Interrogation,text,True,2,0.5639998814236978
whisper,small,Defense,text,True,2,0.30302141214912515
whisper,medium,Identity Declaration,text,False,2,0.8996859560655682
whisper,small,Call for Action,audio+text,False,2,0.3517849921735353
whisper,medium,Accusation,audio+text,False,2,0.2775688125859884
whisper,medium,multi-task,text,True,7,0.9418101658510906
whisper,medium,multi-task,text,True,2,0.8331154457603974
whisper,small,Call for Action,text,False,2,0.8217937398251453
whisper,small,Call for Action,text,True,2,0.7074662641828648
whisper,small,multi-task,text,True,2,0.4239722668570801
whisper,medium,Evidence,audio+text,True,2,0.8869322120199653
whisper,small,Evidence,audio+text,True,2,0.30117335196617856
whisper,medium,Evidence,text,False,2,0.033683367441425194
bert,medium,Evidence,text,True,2,0.02868054539133469
bert,medium,Identity Declaration,text,True,2,0.28839137189826014
bert,small,Call for Action,text,True,2,0.49204138121630414
whisper,small,Evidence,audio+text,False,2,0.5482845605628052
whisper,small,Accusation,text,False,2,0.4781599884406288
bert,small,Identity Declaration,text,True,2,0.6580202281061515
whisper,medium,Accusation,text,True,2,0.7104078552232119
whisper,medium,Identity Declaration,text,True,2,0.8822868880201216
whisper,small,Evidence,text,True,2,0.5158145138015736
whisper,medium,Defense,audio+text,True,2,0.44305583279940686
bert,medium,Interrogation,text,True,2,0.22660975268846195
whisper,medium,Evidence,text,True,2,0.7701421675445677
whisper,medium,Call for Action,text,True,2,0.48001862447694477
whisper,medium,Identity Declaration,audio+text,False,2,0.1267505242527942
whisper,small,multi-task,audio+text,False,2,0.5991961722207662
whisper,medium,Defense,text,True,2,0.22319196003532327
whisper,small,Defense,audio+text,True,2,0.2797893520815091
whisper,small,Identity Declaration,audio+text,False,2,0.6727220000052136
whisper,medium,Accusation,text,False,2,0.29763460900275374
whisper,small,Call for Action,audio+text,True,2,0.39382014500863494
whisper,small,Interrogation,text,True,2,0.8919927772782112
whisper,medium,multi-task,audio+text,True,7,0.9019777176886983
whisper,small,Defense,audio+text,False,2,0.15961532435089987
whisper,medium,multi-task,text,False,2,0.44773246154047286
whisper,medium,Interrogation,audio+text,False,2,0.0895128522769496
whisper,small,multi-task,text,False,2,0.15203092419031117
bert,small,Defense,text,True,2,0.037385335223966476
bert,medium,multi-task,text,True,2,0.7392720162236532
whisper,small,multi-task,text,True,7,0.7710283918029763
whisper,medium,multi-task,audio+text,True,2,0.24418439097922628
whisper,small,Identity Declaration,text,False,2,0.5259911739777867
whisper,medium,Defense,text,False,2,0.28009860543458
whisper,small,Interrogation,text,False,2,0.32628639181801355
whisper,small,Accusation,audio+text,True,2,0.5377248140334795
whisper,medium,Interrogation,audio+text,True,2,0.8897842697519404
whisper,medium,Defense,audio+text,False,2,0.6949135948746086
whisper,medium,Evidence,audio+text,False,2,0.8662755859700744
whisper,small,multi-task,audio+text,True,2,0.30668403677716183
whisper,medium,Interrogation,text,False,2,0.7098749562862154
bert,small,Evidence,text,True,2,0.6271954789251473
whisper,medium,Interrogation,text,True,2,0.2752396803043836
whisper,small,Evidence,text,False,2,0.8452358660338964
bert,medium,Accusation,text,True,2,0.8640778654262764
whisper,medium,multi-task,audio+text,False,2,0.5666619686209211
whisper,medium,Accusation,audio+text,True,2,0.9333365087451606
whisper,small,Identity Declaration,text,True,2,0.80111175656146
whisper,medium,Call for Action,audio+text,False,2,0.9184254902326917
whisper,small,Accusation,text,True,2,0.939296085291704
whisper,small,Accusation,audio+text,False,2,0.4304687270873808
whisper,medium,Call for Action,audio+text,True,2,0.11152001609681084
bert,medium,Defense,text,True,2,0.27922888032108184
whisper,medium,Identity Declaration,audio+text,True,2,0.6652919091440793
whisper,medium,Call for Action,text,False,2,0.1482288780528317
bert,medium,multi-task,text,True,7,0.341264754974305
whisper,small,Identity Declaration,audio+text,True,2,0.006527880109594597
whisper,small,Defense,text,False,2,0.5109708551350395
